rating,review,sentiment_label,sentiment_score
9,"Seasons 1 through 10 are brilliant overall. Seasons 11 and 12 are so awful that they might as well be a different show altogether. From 2018 onwards, the vibes and tone are just plain wrong. Don't even bother watching any episodes post-2017.",NEGATIVE,0.9984373450279236
10,"I cannot believe it's been back on our screens for ten years, it seems like only yesterday the show returned with Rose.What I've loved so much about interacting with people on IMDb is that no series seems to split opinion more then Doctor Who, fundamentally we all love it, it's why we tune in each week to see what's on offer.We've experienced highs and lows and will no doubt continue along the same vein for many years to come.Each Doctor has offered something, some perhaps more then others. Same for its producers, there are people that have loved and loathed both Moffat and Davies, both have given us some excellent and not so excellent episodes.The format and premise of the show remains its key strength, he can literally go anywhere and do anything, most shows are faced with multiple constraints, that isn't the case here, the possibilities are endless.We've had episodes that are widely loved, some of my own favourites include Blink, Silence in the Library/Forest of the Dead and Vincent and the Doctor. Others have positively split opinion, Love and Monsters is a good idea, personally it's one I enjoy. I can appreciate an attempt at doing something different, it's a show that could become tiresome if it became to formulaic.I like the format of the two part serial, it allows a greater character development, sometimes with the single episode there's sometimes a feeling that some characters are a little shy of screen time.They have been guilty of using some of the Doctor's foes too often, the Daleks for example, they've popped up a few times too many, once they were the adversary I desperately wanted to see, not it's a feeling of indifference. Long may it continue!! I couldn't contemplate Christmas Day without my hour of Who, Baileys and Ferrero Rocher.Great big 10/10",POSITIVE,0.9986734390258789
8,"Doctor Who was at it's absolute peak with Christopher Eccleston, David Tennant and Matt Smith. The stories from each season connected beautifully, the cast was memorable and the story was much more
creative than it is now.",POSITIVE,0.9936314225196838
,"I thought nothing could kill Dr. Who, but apparently I was wrong. Bad writing can, and did...First, let me say two things that writers/producers/directors seem not to understand:#1 - People do not watch television to have moral lessons shoved down their throats. They watch television to be entertained. Moral lessons are (typically) not entertaining.#2 - Never, ever trade good writing for special effects. You will always end up in the red. Nobody cares if there's a superbly-crafted monster shown on the screen if the plot doesn't make sense.Now, let me cover why (in addition to these two points), why this season went horribly, horribly wrong.First, let me say that it isn't a problem that Dr. Who is female. Or, rather, it didn't HAVE to be a problem. The writers (and wardrobe department) made it one by not dealing with that shift properly.1. WARDROBE
Dr. Who is an absent-minded, eccentric genius. The suits that previous incarnations of Dr. Who would wear would give him an air of respectability while he was making a fool of himself on his way to ingeniously solving some complex problem. This incarnation of Dr. Who looks like she stole the clothing of a gender-fluid toddler. It doesn't give her any air of respectability, so she ends up looking ditzy, crazy, or ridiculous. The very obviously bleached hair doesn't help because it goes against Dr. Who's very long history of not caring much about appearances (and when Dr. Who has cared, the fashion choices were more geeky/dorky, not superficial).2. PREACH, PREACH, PREACH
I watched years worth of Dr. Who and never - EVER - have there been so many moral lessons shoved in my face. Typically, there is a good balance of: (a) random adventures, (b) the occasional horror episode, (c) races that were interacted with in the past come to continue the story line, (d) an old acquaintance of Dr. Who asking for help (so we get to learn a bit more about Dr. Who, who is a bit of a mystery), and (e) some well-crafted moral lesson. This season is completely imbalanced. Every episode is some social justice lesson and it's not entertaining. Beyond the irritating condescension, it is incredibly presumptuous. Even if I did manage to make it to my age without any knowledge of morals, quite possibly the last place I'd look to educate myself on how to be a moral person would be television. Not only isn't television a trustworthy source, it's also not the point of television: ENTERTAINMENT is. If I were watching Mr. Rogers or Sesame Street, that would be one thing. But, this is Dr. Who. Come on!3. POOR EXECUTION
Dr. Who doesn't like guns. This is established. Dr. Who gets ANGRY when people are killed. This anger is driven by empathy, but also by having seen too many people die and being fed up with it. Having this Dr. Who play that anger off as mopey (as in the witch-related episode) is weak and pathetic and shows no conviction. This is very out of character. I realize that anger can be harder for a female character to play without seeming hawkish, but deal with it. This is Dr. Who's established personality. You can't just change who Dr. Who is as a character. This is something that even stayed the same through previous male incarnations, so biological differences didn't make a difference. You need to keep the continuity. Write it better, act it better.4. TOO MANY PEOPLE
Another huge mistake was adding so many sidekicks. Imagine the episode duration as a pie. More people? Smaller slices. BAD plan. We're hungry. We want a generous slice of Dr. Who - not fifteen or fewer minutes, with the rest of the time dedicated to humans and their personal problems. Dr. Who is a Time Lord. We're still unfolding all of what that means and trying to learn more about Dr. Who's past. There are so many species out there, so many unexplored worlds. But, here you are filling up our time with the problems of a few human characters. If we wanted that, we could've watched another show! ANY other show. The point of this one is to see all of time and space - which (believe it or not), does not revolve around a few humans.5. IDENTITY CRISIS (!?)
The whole ""I don't know myself,"" ""I'm lost,"" bit was taken way, way too far. Yes, we get it, it's disorienting being reconstructed from scratch in a new body and having to reorder hundreds of years worth of memories. But, having a female Dr. Who in the midst of an identity crisis is more the plot for a Lifetime movie than an action/adventure sci-fi series. It makes Dr. Who seem neurotic. This incarnation could've been made a bit more serious to compensate for the difference in sex stereotypes and norms. That would've kept Dr. Who's personality and personal strength more intact. But, as is, it's a mess. You turned Dr. Who female and didn't do enough to compensate for it and now female Dr. Who seems weak, pathetic, mopey, and ditzy. What a total disappointment! (And, I say that as a woman, myself.) It didn't have to be this way.6. BAD WRITING
The writing for this season (11th) is absolutely horrendous. Have any of these writers ever actually watched Dr. Who? Do they know what the word ""continuity"" means? How about ""character"" or ""established personality""? It doesn't seem like it. It seems like you recruited people on to write for this show who didn't give a toss about the personality of Dr. Who, the continuity of that character, and the balance of themes that previously existed in the series. Get people working for this series that actually care about keeping it as good as it WAS (I say ""was"" because this season is the worst I've ever seen). Not only is the character of Dr. Who being slowly dismantled over the course of this season, the overarching themes are imbalanced, and nothing about this series which drew me to it to begin with has been left intact. Find a crazy, obsessed fan that can recite lines from various episodes by heart. Then, hire this person as a consultant (they'd probably work for free just to be part of the production, so you might not even have to pay them). Make sure you actually LISTEN to this person when it comes to wardrobe, character, and plot lines. If you did that, maybe you'd actually have a chance of recovering from this train wreck of a season. To be clear, it's not bad because Dr. Who is female. It's bad because your writers don't know what they're doing and your lead actress is either not being properly instructed on how to play off certain personality traits (see the previous note about anger over people getting killed) or she doesn't have the acting ability. Either way, this isn't a problem with Dr. Who's sex. It's a problem with other people not doing their jobs sufficiently. Please fix it, otherwise you will not only have ruined an incredible series, but you will have ruined it with a woman (which, given your seeming obsession with moral lessons, would probably be a big no-no).",POSITIVE,0.5479010939598083
10,"For as long as I can remember, I've heard about the good Doctor, references, inside jokes and the like. Such as ""Real Daleks don't climb stairs, they flatten the building"".The quandary was this: Where do I begin, with thousands of episodes aired? I was afraid of getting myself into something deep, dense, voluminous and possibly repetitive, impossible to get back out of.The very simple yet belated answer was, of course, by accident.On one of those sleepless nights, flipping channels, I saw astronauts in a Victorian library, and was immediately intrigued by the weird homage to Kubrick. Before the commercial break, I was treated to electronic ghosts and invisible floating piranhas.Then this absolute beauty comes up, I paraphrase - ""You've been living in a computer simulation, your physical body is elsewhere"" - ""But I've been dieting""Bleak, subtle and sophisticated humor? Check, and count me in.As it turned out, I had stumbled into the middle of a Sy-Fy Channel short marathon of Doctor Who. I resisted going to sleep until the damn thing ended five or six episodes later, at ten in the morning.What wildly imaginative premises, what a high-quality level of writing, what a gem this is! There is serious brain-power at work here, courtesy of the BBC yet again, on a continuing heroic mission to sacrifice short-term profit for long-term legacy. As evidence, I present ""Monty Python's Flying Circus"", ""Tinker, Tailor, Soldier, Spy"", ""The Singing Detective"", ""Brideshead Revisited"".From what little I've seen in half of a short marathon, Doctor Who deserves a ten out of ten.",POSITIVE,0.9299643635749817
9,"I'm a 46 year old man, but I'm not ashamed to tell you I wept with all the regenerations of the Doctor, and for other episodes too (for example, the Van Gogh episode broke me).But when Whitaker's time's up, I think I'll be having a sigh of relief. But only if Chibnall also going away. Especially when Chibnall is gone. Maybe even if Whitaker stays, and she's getting good stories, less companions (or ""fam"", for f* sake).The stories are weak, boring and preachy. The Doctor isn't a force of nature that stops planets rotating, she's not the oncoming storm anymore. She's a boring, bland, preachy dimwit, who doesn't belong in the Tardis.Get Moffat back, get Davies back, get people in the seats that love and understand Doctor Who and scifi. Otherwise this will be the death of the undying Doctor.",POSITIVE,0.9997791647911072
10,"I have been a fan of this series since almost the beginning of Series 2; my first proper episode was School Reunion, however I had seen the last 20 minutes of Dalek back in 2005, but I didn't remember to tune back in the next week! Ever since then, I've pretty much caught every episode on its broadcast, except for the odd one where I've been away or indisposed. In 2007, I decided to take a look at the Classic Series - my first story was Genesis of the Daleks, and I've loved it ever since. Slowly, I've collected and watched almost every Classic episode available, following the ""junking"" back in the 60s, and I've come to love Doctor Who as part of my life, like a dog or a cat, something I can be with from time to time and have a smile on my face. In 2008, I even started scouring for Big Finish Audios, novels and comics, and I'm still collecting them to this day. By now, of course, we've had thirty-four series with the ""New Who"" batch included, twelve Doctors (thirteen with Hurt), 812 episodes, 252 stories and 50 years of history. In many ways, with the extreme amount of miscellany as part of the franchise, you could compare Doctor Who very nearly to the Star Wars franchise, and has its own culture and everything.What really gives this television show ten stars though is the continuity. This may be hard to explain, because not many people usually comment on it. What I mean by continuity is that every single episode of Doctor Who is linked in some way or another by threads of storyline that cross the 50 years it has been in existence! Whether it's a returning nemesis, an item of clothing or a passing reference, there's always something to look out for and shout ""Ooh, another easter egg for the Whovians!""A simple example for you was back in the 5th series, following Amy and Rory's wedding, the Eleventh Doctor has just received a phone call in the TARDIS from someone claiming there is an Egyptian goddess loose on the Orient Express. Whilst there are a few slight changes to the context, which could also have been a ploy, three series later, the Twelfth Doctor finally replies by visiting the Orient Express and discovers that it was a computerized identity known as Gus who had brought him there in the first place. It's simple, yet in my mind, it allows me a pause of nostalgia as I think back to how I watched the 5th series.The greatest example I've ever seen was again quite recent. In Moffat's polarising episode, Listen, Clara tells the young Doctor what she heard from his twelfth incarnation. One part of the speech springs to mind, however, ""Fear makes companions of us all"". Not many will have perhaps realised, but this was in reference to what the First Doctor once said to Barbara Wright in the Cave of Skulls, in the third ever episode of the television show. In a very sublime way, the series is never far away from reminding us about the past.As a recommendation, I would give this show an open-mind, especially the ""New Series"", starting 2005. Some episodes are superb, but others drop to the very bottom of the mediocre barrel. What I love about it though is its timeless story, consistently great acting and the fact that the next series could bring absolutely anything to the table - there's just no way of predicting what is to come!Top 10 Doctor Who Stories: 1. Silence in the Library/Forest of the Dead (10th Doctor - 2008) 2. Human Nature/The Family of Blood (10th Doctor - 2007) 3. A Good Man Goes to War (11th Doctor - 2011) 4. Genesis of the Daleks (4th Doctor - 1975) 5. The Talons of Weng-Chiang (4th Doctor - 1977) 6. Blink (10th Doctor - 2007) 7. The Impossible Planet/The Satan Pit (10th Doctor - 2006) 8. Dark Water/Death in Heaven (12th Doctor - 2014) 9. The Day of the Doctor (10th/11th Doctor - 2013) 10. Doctor Who and the Silurians (3rd Doctor - 1970)P.S. IMDb should join both this page and the Classic Series; it's the same bloody show!",NEGATIVE,0.9991258978843689
10,"In all honesty, all I can say about Doctor Who is positive. It might have inconsistencies here and there, but as a franchise it's the best television series ever produced. Doctor Who is thrilling, action packed, emotional, funny, and dramatic- and it does this in a way that makes it fun to watch while not being too heavy like The Walking Dead or Breaking Bad. The main reason why Doctor Who is my favorite show is because it encapsulates everything good and bad about humanity to create a feel good series. It's plain old fun, yet its scary, surprisingly emotional, and thought provoking. The acting, the music, and the script writing as a whole are phenomenal, especially as the show progresses. I strongly recommend that if you do want to watch, start from Series 1 in 2005. Starting from Series 5 is a quicker way to catch up to the upcoming series, as the show gets a minor reboot and a much bigger budget, but in my opinion Series 1 does a much better job at introducing the show: the mystery it builds is fantastic, the arcs are phenomenal, and the characters are incredibly fleshed out. The earlier series look dated, but it's really the characters and the story that hit home. I have loved every series I have seen, especially Series 1, 3, 4, and 9. I think the best aspect of the show is how it has an overlying story that develops across each series and every episode, but most episodes have enough to be self contained stories themselves. I highly recommend that everyone watch Doctor Who, especially with their families. It has themes that adults will love, and enough adventure, action and silliness for the kids as well. While Doctor Who isn't perfect, its as close to perfection as any series I have ever seen.",NEGATIVE,0.9938479065895081
9,"One of my favourite shows growing up, but has deffinetly gone down hill in series 10, and I nevwr watched it past Capaldi's departure from the show, so I only base my rating on that segment of the show (2005 - 2017)",NEGATIVE,0.9995537400245667
8,"The series was great, I enjoyed watching it, but its recent seasons are bad. I did not like the character of Doctor 13. The best seasons were with Doctor 11. I hope that the character of Doctor 13 will end as soon as possible.",NEGATIVE,0.9922297596931458
